,star_name.1,distance.1,mass.1,radius.1
616,,,,
617,2003.0,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,2013.0,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,2013.0,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,2010.0,,,
641,2010.0,,,
642,2010.0,,,
643,2010.0,,,
644,2010.0,,,
645,2010.0,,,
646,2010.0,,,
647,2010.0,,,
648,2010.0,,,
649,2010.0,,,
650,2010.0,,,
651,2010.0,,,
652,2010.0,,,
653,2010.0,,,
654,2010.0,,,
655,2010.0,,,
656,2010.0,,,
657,2010.0,,,
658,2010.0,,,
659,2010.0,,,
660,2010.0,,,
661,2010.0,,,
662,2010.0,,,
663,2010.0,,,
664,2010.0,,,
665,2010.0,,,
666,2010.0,,,
667,2010.0,,,
668,2010.0,,,
669,2010.0,,,
670,2010.0,,,
671,2010.0,,,
672,2010.0,,,
673,2010.0,,,
674,2010.0,,,
675,2010.0,,,
676,2010.0,,,
677,2010.0,,,
678,2010.0,,,
679,2010.0,,,
680,2010.0,,,
681,2010.0,,,
682,2010.0,,,
683,2010.0,,,
684,2010.0,,,
685,2010.0,,,
686,2010.0,,,
687,2010.0,,,
688,2010.0,,,
689,2010.0,,,
690,2010.0,,,
691,2010.0,,,
692,2010.0,,,
693,2010.0,,,
694,2010.0,,,
695,2010.0,,,
696,2010.0,,,
697,2010.0,,,
698,2010.0,,,
699,2010.0,,,
700,2010.0,,,
701,2010.0,,,
702,2010.0,,,
703,2010.0,,,
704,2010.0,,,
705,2010.0,,,
706,2010.0,,,
707,2010.0,,,
708,2010.0,,,
709,2010.0,,,
710,2010.0,,,
711,2010.0,,,
712,2010.0,,,
713,2010.0,,,
714,2010.0,,,
715,2010.0,,,
716,2010.0,,,
717,2010.0,,,
718,2010.0,,,
719,2010.0,,,
720,2010.0,,,
721,2010.0,,,
722,2010.0,,,
723,2010.0,,,
724,2010.0,,,
725,2010.0,,,
726,2010.0,,,
727,2010.0,,,
728,2010.0,,,
729,2010.0,,,
730,2010.0,,,
731,2010.0,,,
732,2010.0,,,
733,2010.0,,,
734,2010.0,,,
735,2010.0,,,
736,2010.0,,,
737,2010.0,,,
738,2010.0,,,
739,2010.0,,,
740,2010.0,,,
741,2010.0,,,
742,2010.0,,,
743,2010.0,,,
744,2010.0,,,
745,2010.0,,,
746,2010.0,,,
747,2010.0,,,
748,2010.0,,,
749,2010.0,,,
750,2010.0,,,
751,2010.0,,,
752,2010.0,,,
753,2010.0,,,
754,2010.0,,,
755,2010.0,,,
756,2010.0,,,
757,2010.0,,,
758,2010.0,,,
759,2010.0,,,
760,2010.0,,,
761,2010.0,,,
762,2010.0,,,
763,2010.0,,,
764,2010.0,,,
765,2010.0,,,
766,2010.0,,,
767,2010.0,,,
768,2010.0,,,
769,2010.0,,,
770,2010.0,,,
771,2010.0,,,
772,2010.0,,,
773,2010.0,,,
774,2010.0,,,
775,2010.0,,,
776,2010.0,,,
777,2010.0,,,
778,2010.0,,,
779,2010.0,,,
780,2010.0,,,
781,2010.0,,,
782,2010.0,,,
783,2010.0,,,
784,2010.0,,,
785,2010.0,,,
786,2010.0,,,
787,2010.0,,,
788,2010.0,,,
789,2010.0,,,
790,2010.0,,,
791,2010.0,,,
792,2010.0,,,
793,2010.0,,,
794,2010.0,,,
795,2010.0,,,
796,2010.0,,,
797,2010.0,,,
798,2010.0,,,
799,2010.0,,,
800,2010.0,,,
801,2010.0,,,
802,2017.0,,,
803,2002.0,,,
804,2002.0,,,
805,2002.0,,,
806,2002.0,,,
807,2002.0,,,
808,2002.0,,,
809,2002.0,,,
810,2002.0,,,
811,2002.0,,,
812,2002.0,,,
813,2002.0,,,
814,2002.0,,,
815,2002.0,,,
816,2002.0,,,
817,2002.0,,,
818,2002.0,,,
819,2002.0,,,
820,2002.0,,,
821,2002.0,,,
822,2002.0,,,
823,2002.0,,,
824,2002.0,,,
825,2002.0,,,
826,2002.0,,,
827,2002.0,,,
828,2002.0,,,
829,2002.0,,,
830,2002.0,,,
831,2002.0,,,
832,2002.0,,,
833,2002.0,,,
834,2002.0,,,
835,2002.0,,,
836,2002.0,,,
837,2002.0,,,
838,2002.0,,,
839,2002.0,,,
840,2002.0,,,
841,2002.0,,,
842,2002.0,,,
843,2002.0,,,
844,2002.0,,,
845,2002.0,,,
846,2002.0,,,
847,2002.0,,,
848,2002.0,,,
849,2002.0,,,
850,2002.0,,,
851,2002.0,,,
852,2002.0,,,
853,2002.0,,,
854,2002.0,,,
855,2002.0,,,
856,2002.0,,,
857,2002.0,,,
858,2002.0,,,
859,2002.0,,,
860,2002.0,,,
861,2002.0,,,
862,2002.0,,,
863,2002.0,,,
864,2002.0,,,
865,2002.0,,,
866,2002.0,,,
867,2002.0,,,
868,2002.0,,,
869,2002.0,,,
870,2002.0,,,
871,2002.0,,,
872,2002.0,,,
873,2002.0,,,
874,2002.0,,,
875,2002.0,,,
876,2002.0,,,
877,2002.0,,,
878,2002.0,,,
879,2002.0,,,
880,2002.0,,,
881,2002.0,,,
882,2002.0,,,
883,2002.0,,,
884,2002.0,,,
885,2002.0,,,
886,2002.0,,,
887,2002.0,,,
888,2002.0,,,
889,2002.0,,,
890,2002.0,,,
891,2002.0,,,
892,2002.0,,,
893,2002.0,,,
894,2002.0,,,
895,2002.0,,,
896,2002.0,,,
897,2002.0,,,
898,2002.0,,,
899,2002.0,,,
900,2002.0,,,
